Year,Adams,Ashland,Barron,Bayfield,Brown,Buffalo,Burnett,Calumet,Chippewa,Clark,Columbia,Crawford,Dane,Dodge,Door,Douglas,Dunn,Eau Claire,Florence,Fond du Lac,Forest,Grant,Green,Green Lake,Iowa,Iron,Jackson,Jefferson,Juneau,Kenosha,Kewaunee,La Crosse,Lafayette,Langlade,Lincoln,Manitowoc,Marathon,Marinette,Marquette,Menominee,Milwaukee,Monroe,Oconto,Oneida,Outagamie,Ozaukee,Pepin,Pierce,Polk,Portage,Price,Racine,Richland,Rock,Rusk,Sauk,Sawyer,Shawano,Sheboygan,St Croix,Taylor,Trempealeau,Vernon,Vilas,Walworth,Washburn,Washington,Waukesha,Waupaca,Waushara,Winnebago,Wood,State
2019,199.9545,187.2500,182.7500,107.3333,204.4167,105.4583,217.9167,218.7500,186.4583,178.0000,169.5000,121.0000,182.4167,195.5417,168.5417,113.9167,155.0833,145.0000,133.6429,195.1250,183.3333,114.6667,152.1250,187.8333,205.8750,101.6667,155.1250,173.9167,174.1250,169.2917,150.6000,161.9167,145.2273,226.7083,195.8333,199.9583,164.6667,183.5417,130.9375,64.7500,192.0833,220.7083,175.8333,160.3750,206.7500,142.4583,64.8333,140.8750,164.1667,188.6667,152.7500,225.2917,170.4545,185.0833,192.6500,183.2500,155.1250,177.5417,144.3333,124.4167,151.3333,123.5000,135.6818,196.8333,179.2083,196.1818,143.5000,209.4583,189.3333,143.8333,136.1667,145.1250,168.3651
2020,298.5909,219.2500,216.8750,157.6667,265.0417,130.4167,238.7500,280.1250,234.2500,289.6250,185.0000,206.2500,249.8750,215.2917,235.0000,134.9167,225.3750,186.9167,141.1250,249.9167,293.8000,132.4167,192.7917,251.8333,278.2917,135.6667,205.5417,193.7500,260.7500,222.2917,287.5500,211.0833,224.9167,245.0000,229.5417,286.1250,254.8333,215.0833,253.7727,215.4167,250.0417,272.3333,225.2083,203.2500,249.3750,185.0417,175.2222,227.6250,180.7500,250.2083,233.5000,277.5000,129.3182,235.2500,282.6818,219.9583,206.9167,264.1667,193.7500,179.0833,237.6818,174.2083,266.9091,213.1667,230.5417,264.2727,178.5000,268.7083,276.0833,206.0833,178.3333,188.2500,223.9367
2021,385.9583,237.1667,254.4583,181.4167,329.0000,173.8333,278.2917,274.5833,266.0000,269.9583,253.1250,216.8750,344.7083,239.6667,386.2500,153.0833,298.7500,228.5000,263.0556,309.2917,353.7500,132.8333,219.5417,297.2917,330.5833,176.2083,233.0000,284.7500,288.9583,243.2917,270.6818,207.5833,336.6667,221.9583,289.4167,287.0417,233.5417,250.7917,226.7917,378.3750,334.0417,304.8333,254.1667,169.3750,293.2500,206.1667,146.3000,229.6250,215.2083,275.6250,257.4583,322.5417,201.3750,260.3750,281.8333,262.5417,253.9583,391.7083,230.4583,206.1250,242.0833,174.0833,243.7500,245.7917,299.5417,283.2917,180.4167,323.8750,288.4167,186.3750,232.0417,181.6667,257.7963
2022,313.5833,279.2917,310.2917,193.8333,342.2500,222.2500,275.7917,274.0833,287.8333,296.1667,332.6250,275.5417,390.2083,264.5000,423.1250,152.4583,360.3333,228.8750,219.4091,343.0833,517.5833,133.1667,266.4167,259.0000,284.4583,340.6250,256.0000,332.8750,326.1667,299.4167,329.9583,270.3333,299.7500,371.2917,337.1250,346.8333,294.1250,254.2917,281.2917,563.8571,348.7083,364.1250,319.1250,224.2083,322.2500,261.2500,222.0000,295.9583,276.0833,332.2500,400.1667,392.7083,280.5000,294.2083,297.9583,281.3333,312.1250,556.8333,288.7500,262.7083,222.0000,287.9167,253.9167,351.9167,307.7500,377.3750,204.6250,324.8750,302.8750,221.3750,220.2917,177.4167,300.5455
2023,279.6250,298.0833,271.3333,247.1250,347.4167,241.1667,193.9167,321.4583,305.4583,372.2083,294.1250,265.0000,309.4583,230.5833,389.7500,129.5417,343.2500,247.9167,209.8182,366.5000,480.2917,128.0417,207.0833,319.4583,274.0833,455.5455,253.9167,305.1250,303.2083,290.9583,365.5000,267.1667,269.8333,532.1250,373.9167,399.2083,287.3750,252.4167,273.5833,475.5500,324.6250,416.9167,349.9167,182.6667,312.2083,261.2083,159.1667,206.7500,257.7083,318.9583,373.7917,403.4583,236.7083,295.4583,385.9167,245.5833,403.0417,487.6667,324.9583,256.4167,254.8750,303.0417,328.4167,471.0833,340.6667,407.0417,235.7083,291.7500,311.1667,259.3333,205.0417,179.8750,304.668
2024,339.9167,303.0000,282.3333,244.2500,396.1250,340.0417,205.0000,281.0000,328.8333,270.0833,240.0833,245.9583,271.2083,243.9583,379.2500,146.5833,319.0833,229.6250,258.3000,353.1667,726.6667,155.2917,207.5000,280.4583,230.4167,477.0417,222.4583,254.4583,294.3333,301.6667,331.0417,289.8750,297.9583,596.8333,390.1250,411.6250,272.7917,279.0417,230.7917,640.6111,314.8750,362.2500,355.0417,214.6667,288.4583,242.2917,315.4545,227.6250,241.8333,245.8750,367.8750,413.3750,233.2083,283.6250,324.5000,223.0833,397.0417,533.5417,322.8750,280.1667,274.0417,331.8333,294.1667,343.3333,323.3750,392.9583,239.7917,286.2917,286.4583,224.6250,187.3750,201.0417,306.465
