Factor,Misdemeanor,
Male,26.5,0
Black,22.8,0
Hispanic,43.5,0
18-25,-16.6,0
26-25,,
,,
Sex Offense,,
Weapon Offense,,
Property Offense,95.5,0
Drug Offense,90,0
DUI Offense,88.1,0
Other Offense,76.7,0
Number of Charges,42.7,0
,,
Number of Judges,39.1,0
Number of Prosecutors,-12.5,0
Number of Defense Attorneys,-48.5,0
Number of Continuances,,
Days Between Hearings,0.1,0
Month to Disposition,2,0
