Factor,Felony,
Male,-2.2,
Black,-5.4,0
Hispanic,-5.5,0
Age 18-25,9.4,
Age 26-25,7.5,0
,,
Weapon Case,16.9,
Property Case,,
Drug Case,-23.7,0
DUI Case,-5.3,0
Other Case,-13.2,
Charge Severity,11.1,
Total Charges Filed,0,0
,,
Failure to Appear,20.6,
Weeks Between Events,1,0
Continued Events,4,0
