Factor,Percent Change in Time to Disposition
Female,-2.2
Black,
Hispanic,
18-25,0.6
26-25,0.3
,
Felony,28.4
Sex Offense,19.6
Weapon Offense,
Property Offense,-5
Drug Offense,
DUI Offense,
Other Offense,0.2
Number of Charges,2.1
,
Number of Judges,14.5
Number of Prosecutors,47.1
Number of Defense Attorneys,12.8
Percent of Hearings Cancelled,0.9
Days Between Hearings,0.2
