Factor,Felony,
Male,31.2,0
Black,30.5,0
Hispanic,48.4,0
18-25,,
26-25,-13.8,0
,,
Weapon Offense,-25.2,0
Property Offense,,
Drug Offense,-49.7,0
DUI Offense,,
Other Offense,,
Number of Charges,15.3,0
,,
Number of Continuances,-9.1,0
Days Between Hearings,3.1,0
Days to Disposition,3,0
