Year,Adams,Ashland,Barron,Bayfield,Brown,Buffalo,Burnett,Calumet,Chippewa,Clark,Columbia,Crawford,Dane,Dodge,Door,Douglas,Dunn,Eau Claire,Florence,Fond du Lac,Forest,Grant,Green,Green Lake,Iowa,Iron,Jackson,Jefferson,Juneau,Kenosha,Kewaunee,La Crosse,Lafayette,Langlade,Lincoln,Manitowoc,Marathon,Marinette,Marquette,Menominee,Milwaukee,Monroe,Oconto,Oneida,Outagamie,Ozaukee,Pepin,Pierce,Polk,Portage,Price,Racine,Richland,Rock,Rusk,Sauk,Sawyer,Shawano,Sheboygan,St Croix,Taylor,Trempealeau,Vernon,Vilas,Walworth,Washburn,Washington,Waukesha,Waupaca,Waushara,Winnebago,Wood,State
2019,171.5417,121.1250,129.0417,112.0000,129.2083,91.5000,156.1250,157.2500,143.7083,93.6250,149.6250,86.0417,143.1250,72.5000,116.4583,124.1667,116.6667,114.2083,66.0000,109.3750,106.1250,84.7917,100.7500,92.2083,177.1250,86.1250,149.7500,110.2500,124.9583,116.5833,96.4167,147.9583,103.1250,170.5000,123.9583,150.7500,115.3333,99.9167,103.2917,76.0000,157.6250,172.2083,115.2500,116.1667,141.5833,119.7500,82.7083,172.4167,129.0417,144.7500,125.0000,192.3750,135.9167,182.2083,117.1250,133.2083,173.2083,109.6667,115.2083,138.7083,103.7500,91.1667,124.2083,131.2083,136.0833,111.8333,115.6667,169.8333,170.9167,95.6250,97.1250,104.2917,125.4298
2020,241.6667,165.5833,160.7083,117.0833,187.5000,123.0833,179.3333,232.7083,209.4583,212.8333,198.8333,151.5000,211.2500,116.7917,183.9583,135.6667,172.6250,192.0833,100.8889,168.2917,136.2273,105.8333,179.2917,130.5833,241.5833,119.8750,166.2917,151.0417,219.9583,178.8750,167.8636,215.0833,176.5000,280.7083,189.4583,234.0833,195.9167,157.3333,175.5417,191.2500,236.8750,213.2500,165.5833,141.2500,182.3333,150.2083,137.1250,179.5833,209.0000,195.0417,170.5833,307.5417,199.3182,234.8333,177.4167,177.0833,184.0417,199.6667,159.4167,166.7083,170.4091,149.9167,208.4545,165.9583,167.6250,186.6250,157.2917,244.9583,249.2083,120.2917,130.5417,148.7083,180.1968
2021,293.6667,164.0000,178.2917,130.4583,219.6667,135.4167,170.3333,223.2500,213.3750,184.8333,215.7083,169.5000,293.9583,111.4167,177.9583,150.8750,212.4167,183.5833,159.7500,168.2500,171.8750,105.0417,166.5417,147.7083,213.1250,173.7273,189.0000,179.8333,223.0417,184.8750,126.3750,210.5000,177.2500,306.0833,218.7917,240.5833,203.2500,206.0833,142.5417,157.4286,298.7500,234.5000,132.5000,131.1250,197.7083,136.0000,175.7083,219.0000,207.0833,208.6250,267.7917,309.8333,198.1667,270.8750,203.6250,215.0000,227.7917,331.9583,213.8333,168.0000,141.0417,181.9167,203.9583,182.8333,192.8333,209.6667,150.2917,261.9167,250.7500,136.4583,130.5417,135.7917,195.1338
2022,284.8750,253.2500,152.8750,177.5417,231.9167,191.7083,166.4167,171.5417,193.8750,175.3750,323.6250,147.1250,296.7500,104.9167,186.9167,131.2083,234.7083,195.1667,178.1667,227.1667,322.6667,105.6667,168.5000,157.1667,167.0833,204.9583,188.7917,222.1250,218.3333,206.4167,162.0417,273.7083,160.0000,417.6667,234.1667,273.6250,243.4583,211.4583,150.3750,431.9286,280.2083,286.5000,162.0000,134.9167,240.5000,192.6667,130.9091,246.7500,263.1667,278.0833,245.0417,349.0417,201.7917,305.5833,317.9583,221.8750,313.0000,340.7917,252.1250,182.1667,165.9583,287.5833,222.9167,288.5000,212.5000,382.4167,149.5417,248.3333,220.3750,144.9167,132.7500,133.0417,222.2139
2023,242.6250,233.5833,183.6250,143.3750,221.5000,190.2500,143.0000,204.9167,218.6667,245.7500,283.1667,191.5417,217.7917,90.2083,221.5909,137.8333,191.7083,180.5417,144.5417,239.6250,332.1667,103.8333,141.9583,222.6250,179.1667,212.9167,191.6250,141.3333,194.5417,201.7917,181.0417,244.5000,194.0417,400.5833,261.0833,252.5417,216.3750,166.6250,153.5833,571.6111,256.0000,308.0833,161.5000,143.1667,199.1250,183.1667,214.5000,178.8333,201.5833,231.3333,242.3333,353.8750,167.2500,272.5833,282.7500,189.7083,421.1667,425.2083,271.6250,190.4167,156.7917,202.3750,248.1250,258.5833,207.6250,313.1667,153.6667,225.1667,230.1667,150.0000,122.4583,125.2083,217.8971
2024,197.8333,218.7083,156.3750,167.7500,233.5000,178.3333,96.1667,196.0417,222.5000,170.3750,219.1667,170.2500,185.2917,89.4583,210.0833,145.2917,216.1667,174.5417,204.8182,197.7083,475.5833,117.0000,152.0000,139.5417,158.7500,231.5000,194.8333,117.4167,168.2083,225.1667,119.8333,210.0833,179.8750,395.9583,245.4167,247.2083,195.7917,220.5833,160.7917,482.5714,229.0833,289.4167,165.0000,173.0000,207.7500,163.9167,177.3333,195.2500,198.7917,190.4583,219.8333,395.7500,143.5000,267.6667,229.8750,170.6667,335.7083,462.5000,268.0000,195.5833,152.8333,178.6250,228.1667,227.9167,194.4583,251.1667,144.4583,203.0417,249.9583,152.5000,113.5417,124.4583,206.5810
