Factor,Felony,
91-180 days,-64,0
181-365 days,-74,0
1+ year,-60,0
,,
Male,,
Black,21,0
Hispanic,,
Age 18-25,,
Age 26-25,11,0
,,
Weapon Case,-33,0
Property Case,58,0
Drug Case,101,0
DUI Case,-5.3,0
Other Case,,
Charge Severity,-30,0
Total Charges Filed,-5,0
,,
Failure to Appear,,
Weeks Between Events,,
Continued Events,-16,0
,,
Average Felony Caseload,-16,0
Average Continuance Rate,75,0
Average FTA Rate,-16,0
Average Time Between Events,,
Average Open Cases,,
