Factor,Misdemeanor,
Male,,
Black,2.3,0
Hispanic,2,0
18-25,,
26-25,,
,,
Sex Offense,,
Weapon Offense,3.9,0
Property Offense,,
Drug Offense,4.8,0
DUI Offense,8.7,0
Other Offense,3.7,0
Number of Charges,0.7,0
,,
Number of Judges,7.4,0
Number of Prosecutors,15.8,0
Number of Defense Attorneys,4.1,0
Number of Continuances,4.2,0
Days Between Hearings,0.1,0
