Factor,Misdemeanor,
Male,,
Black,24.6,0
Hispanic,15.3,0
18-25,7.7,0
26-25,5.6,0
,,
Sex Offense,,
Weapon Offense,62,0
Property Offense,-10.4,0
Drug Offense,21.4,0
DUI Offense,35.6,0
Other Offense,-32.7,0
Number of Charges,24.7,0
,,
Number of Judges,-5.6,0
Number of Prosecutors,-47,0
Number of Defense Attorneys,42.9,0
Number of Continuances,,
Days Between Hearings,1.8,0
Months to Disposition,-3,0
