DispoYear,Boone,Carroll,Cook,Edwards,Ford,Franklin,Fulton,Hancock,Henderson,Jefferson,Jo Daviess,Knox,Lawrence,Livingston,Logan,McDonough,Ogle,Richland,Stephenson,Warren,Wayne,White
2019.00,121.0000,113.0000,46.0000,84.5000,146.0000,115.0000,153.0000,150.0000,79.0000,81.0000,147.0000,118.0000,43.0000,126.0000,108.5000,88.0000,107.0000,125.0000,78.5000,57.0000,84.5000,45.0000
2020.00,182.5000,116.0000,85.0000,119.0000,227.0000,170.5000,215.0000,164.5000,74.0000,160.0000,170.0000,177.0000,84.0000,150.0000,172.0000,118.0000,144.5000,232.0000,111.0000,63.0000,149.0000,60.0000
2021.00,175.0000,134.5000,151.0000,173.5000,281.0000,331.0000,286.5000,228.0000,83.0000,228.0000,120.0000,193.0000,103.0000,191.5000,202.5000,151.5000,142.0000,172.0000,131.5000,104.0000,182.0000,70.0000
2022.00,170.5000,205.0000,131.0000,137.0000,234.0000,355.0000,271.0000,135.0000,174.0000,169.0000,128.0000,175.0000,62.0000,223.0000,168.5000,140.0000,137.5000,187.5000,123.0000,122.0000,259.0000,54.0000
2023.00,110.0000,144.0000,102.0000,96.0000,151.0000,236.0000,230.0000,121.0000,70.5000,191.0000,124.5000,112.0000,50.0000,148.0000,208.0000,84.0000,112.0000,159.5000,91.0000,102.0000,211.0000,41.0000
2024.00,100.0000,153.0000,168.5000,118.0000,160.5000,245.0000,204.0000,164.0000,58.0000,169.0000,163.0000,142.0000,82.5000,100.5000,224.0000,97.0000,103.0000,142.5000,106.0000,102.0000,236.0000,47.0000
