Charge,2017,2018,2019,2020,2021,2022,2023,Total Cases 2023,Median Days to Dispo 2023,Total Days Consumed - Cases Disposed 2023,Average Days to Dispo 2023
Distribution of Marijuana,128.5,162.5,184,198.5,294,193,225,47,225,18660,397.0213
Illegal Discharge of a Firearm,127.5,111,183,168,210,132,140,45,140,10408,231.2889
Bias Motivated Crime,175,139,134,148,221,202,167,40,167,12853,321.325
Internet Luring of a Child,182,178.5,199,267.5,241,223,194,40,194,12352,308.8
Neglect,105,123,181,168.5,136.5,200,159,37,159,10263,277.3784
Defacing Property,105,74,74,131.5,85.5,205,80,37,80,5155,139.3243
Prostitution - Child,271,269.5,210,374,211,312,337,32,337,15653,489.1563
Invasion of Privacy,157,177,231,224,326,199,251.5,28,251.5,9273,331.1786
Homicide - Murder 2,409,325,408,428.5,535,484,412.5,26,412.5,10656,409.8462
Extortion,185,267,258,205,216.5,281.5,160,26,160,5680,218.4615
Incest,265,298,243,258.5,252,254,247.5,22,247.5,7861,357.3182
Kidnapping 1,241.5,334,267,376,390,388,205,22,205,7174,326.0909
Disarming a Peace Officer,118.5,215,108,46,196,140,131,19,131,4412,232.2105
Homicide - Manslaughter,554,199.5,226,355.5,424.5,210,281.5,18,281.5,7049,391.6111
Human Trafficking,272.5,266,384,284.5,522,324,294,18,294,6036,335.3333
Violation of Custody,187,231,174.5,190,394,229,237,17,237,5511,324.1765
Riot,133.5,204,98,214,237,226.5,185,17,185,4495,264.4118
Manufacture of a Controlled Substance,207.5,297,371,379,466,221.5,231,16,231,4652,290.75
Negligent Death/Injury,222,225,230,175.5,217,146,314,14,314,7089,506.3571
Criminal Exploitation,101,365,330,295.5,268,238.5,376.5,14,376.5,6567,469.0714
Homicide - Murder 1 Felony Murder,310,324,375,334,437,508.5,677,5,677,2731,546.2
