Charge,2019,2020,2021,2022,2023,Total Cases 2023,Average Days to Dispo 2023,Median Days to Dispo 2023
Unlawful possession of a firearm by a street gang member,136.0000,269.5000,342.0000,370.0000,417.0000,2,417.0000,417.0000
Unlawful possession/purchase of firearms and firearms ammunition,36.0000,135.0000,194.0000,223.5000,243.0000,381,295.1050,243.0000
Unlawful restraint/forcible detention,70.0000,196.5000,239.0000,270.5000,86.0000,23,229.0000,86.0000
Unlawful use of a weapon,45.0000,122.0000,241.0000,197.0000,179.0000,601,235.5324,179.0000
Unlawful use of a weapon by a felon,106.0000,217.0000,393.0000,389.0000,343.0000,1279,415.7170,343.0000
Unlawful use of or possession of fraudulent ID,57.0000,190.0000,273.5000,191.5000,105.0000,81,213.9877,105.0000
Unlawful/aggravated/reckless discharge of firearm,149.5000,272.0000,317.0000,357.0000,342.0000,296,409.6014,342.0000
Vehicle-related offense - other,35.0000,66.0000,76.0000,55.5000,55.0000,4670,115.9173,55.0000
Vehicular hijacking with a firearm,,50.0000,377.0000,449.0000,527.0000,81,516.9136,527.0000
Vehicular hijacking/aggravated vehicular hijacking,163.0000,336.0000,559.0000,419.5000,596.5000,64,655.0938,596.5000
Vehicular invasion/trespass to vehicle,28.0000,94.0000,102.0000,68.0000,53.0000,1113,142.2633,53.0000
Violation of order of protection/no stalking,18.0000,71.0000,92.0000,78.0000,72.0000,1697,154.1467,72.0000
Warrant,3.0000,83.0000,5.0000,,42.0000,15,41.3333,42.0000
Weapons offense - other,51.0000,150.5000,245.0000,222.5000,196.0000,1027,263.8832,196.0000
Total,32.0000,85.0000,142.0000,135.0000,107.0000,75551,220.2395,107.0000
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
