DispoYear,Boone,Carroll,Cook,Edwards,Ford,Franklin,Fulton,Hancock,Henderson,Jefferson,Jo Daviess,Knox,Lawrence,Livingston,Logan,McDonough,Ogle,Richland,Stephenson,Warren,Wayne,White
2017,155,115,85,99,180,145,177,150,77,125,155,150,82,130,145,118,125,193,100,63,145,55
2018,162,110,90,102,185,140,175,152,75,138,160,145,77,125,150,115,130,195,102,65,138,58
2019,168.0000,116.0000,88.0000,105.0000,191.0000,142.5000,183.0000,162.5000,72.0000,137.0000,170.0000,153.0000,79.0000,128.0000,147.0000,116.5000,137.0000,193.0000,102.0000,63.0000,141.0000,58.5000
2020,178.0000,136.0000,146.0000,133.0000,269.0000,276.5000,256.5000,226.0000,85.0000,218.0000,121.0000,188.0000,103.0000,184.0000,196.0000,154.0000,139.0000,148.0000,132.0000,106.0000,187.0000,70.0000
2021,174.0000,199.5000,131.0000,145.5000,228.0000,343.0000,267.5000,137.0000,162.5000,170.0000,142.0000,167.0000,63.5000,222.0000,169.0000,135.0000,132.0000,179.0000,121.5000,125.0000,259.0000,58.0000
2022,116.5000,149.5000,104.0000,96.0000,147.5000,249.0000,232.0000,130.0000,75.0000,203.0000,126.0000,111.0000,50.0000,149.0000,205.0000,85.0000,111.0000,159.5000,91.0000,100.0000,214.5000,42.0000
2023,119.0000,154.0000,91.0000,140.0000,168.0000,258.0000,204.0000,175.5000,93.0000,179.5000,163.0000,139.0000,96.0000,105.0000,223.0000,100.0000,100.5000,146.0000,106.0000,95.0000,255.0000,48.0000
