DispositionYear,JD1,JD2,JD3,JD5,JD6,JD7,JD8,JD9,JD10,JD11,JD13,JD17,JD18,JD19,JD20,JD21,JD22
2017,76,160,91,93,90,74,72,76,138,70,91,124,76,94,132,123,104
2018,69,157,102,93,77,67,77,60,146,67,91,118,69,97,121,118,120
2019,79,190,105,92,90,65,74,77,144,76,109,118,73,113,111,107,149
2020,96,210,84,88,104,87,107,104,173,97,103,184,111,138,149,145,188
2021,97,212,61,91.5,99,89,113,110,191,117,98,221,104,146,136,154,202
2022,113,178,85,89,99,95,105,120,166,102,127,188,100,169,133,129,184
2023,104,156,89,84,99,126,96,91,155,76,126,145,91,181,130,114,115.5
2024,90,164,92,83,83,90,93,90,131,78.5,99,137,87,168,110,106,115
