jdyear,CF,CM,CT
2010,139.0,100.0,113.0
2011,143.0,103.0,111.0
2012,143.0,106.0,114.0
2013,151.0,108.0,119.0
2014,158.0,113.0,126.0
2015,162.0,114.0,124.0
2016,166.0,119.0,128.0
2017,171.5,126.0,136.0
2018,181.0,133.0,141.0
2019,197.0,143.0,156.0
2020,228.0,185.0,208.0
2021,271.0,217.0,194.0
2022,303.0,235.0,221.0
2023,284.0,207.0,195.0
